,Product Link,Product Name,image,Star Rating,review_count,Price,Stock Status,Brand,Unit_Size,Sku,Description,Details
22,https://www.dollargeneral.com/p/russell-stover-chocolates-assorted-oz/77260097941,Russell Stover Chocolates Assorted 6oz,https://dggo.dollargeneral.com/images/25/84/25842901_0.jpg,5.0,1 ,$3.95,2 in stock at,Russell Stover,6.0 ounce,25842901,"['Individually wrapped pieces', 'Top selling assortment', 'great for candy dishes']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Russell Stover', 'Unit Size': '6.0 ounce', 'SKU': '25842901'}"
23,https://www.dollargeneral.com/p/studio-selection-lavender-scented-bath-salts-lb/72785137998,"Studio Selection Lavender Scented Bath Salts, 1.5 Lb",https://dggo.dollargeneral.com/images/24/23/24235101_0.jpg,0.0,Number of Reviews is not available,$3.25,2 in stock at,Studio Selection,1.5 pound,24235101,"['Lavender Scented', 'With epsom salts', 'Soothes and relaxes']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Studio Selection', 'Unit Size': '1.5 pound', 'SKU': '24235101'}"
24,https://www.dollargeneral.com/p/five-deep-breaths-mineral-bath-and-foot-soak-ct/811170039772,"Five Deep Breaths Mineral Bath And Foot Soak, 3 Ct",https://dggo.dollargeneral.com/images/30/97/30975901_0.jpg,0.0,Number of Reviews is not available,$2.25,3 in stock at,Five Deep Breaths,1.0 each,30975901,"['Relax, Restore, and Calm your senses with our indulgent bath & body care products.', 'Created to be your ultimate self-care experience & to remind you to pause & take Five Deep Breaths.']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Five Deep Breaths', 'Unit Size': '1.0 each', 'SKU': '30975901'}"
25,https://www.dollargeneral.com/p/dr-teal-s-foaming-bath-with-pure-epsom-salt-with-lavender-oz/811068011002,Dr Teal'S Foaming Bath With Pure Epsom Salt With Lavender 34oz,https://dggo.dollargeneral.com/images/24/21/24212801_0.jpg,4.8,534 ,$6.00,1 in stock at,Dr Teals,34.0 ounce,24212801,"[""Sooths your body promoting a better night's sleep"", 'Nourishes your skin', 'Long-lasting bubbles gently cleanse', '', 'INGREDIENTS: Water']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Dr Teals', 'Unit Size': '34.0 ounce', 'SKU': '24212801'}"
26,https://www.dollargeneral.com/p/maybelline-lash-sensational-sky-high-washable-mascara-makeup---blackest-black/41554590517,Maybelline Lash Sensational Sky High Washable Mascara Makeup - Blackest Black,https://dggo.dollargeneral.com/images/28/79/28791401_0.jpg,4.4,186 ,$11.00,4 in stock at,Brand Description not available,1.0 each,28791401,[],"{'Available': 'In Store, DG Pickup', 'Unit Size': '1.0 each', 'SKU': '28791401'}"
27,https://www.dollargeneral.com/p/artskills-jumbo-bulletin-letters-ct/672125017692,"Artskills Jumbo Bulletin Letters, 70 Ct",https://dggo.dollargeneral.com/images/11/53/11533202_0.jpg,0.0,Number of Reviews is not available,$1.00,1 in stock at,Artskills,1.0 each,11533201,"['70 count', 'Includes numerals 0-9', 'Easy to pop-out', 'Ages 3+']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '1.0 each', 'SKU': '11533201'}"
28,https://www.dollargeneral.com/p/bubbles-squeaky-clean-bubble-bath---bubble-fresh-scent-fl-oz/850034533254,"Bubbles Squeaky Clean Bubble Bath - Bubble Fresh Scent, 16 Fl Oz",https://dggo.dollargeneral.com/images/31/45/31451701_0.jpg,0.0,Number of Reviews is not available,$2.50,Out of stock at,Bubbles,16.0 ounce,31451701,"['Bubble bath with refreshing scents', 'Paraben free, gentle on eyes, and hypoallergenic', 'Comes with aloe vera and vitamin E', 'Net weight 16 fl oz']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Bubbles', 'Unit Size': '16.0 ounce', 'SKU': '31451701'}"
29,https://www.dollargeneral.com/p/visa-metallic-giftcard-/799366696193,Visa Metallic Giftcard $25,https://dggo.dollargeneral.com/images/03/97/03972701_0.jpg,5.0,1 ,$25.00,20 in stock at,Visa,1.0 each,03972701,"['Dollar General engages in the money transmission business and/or sale of stored value products as an authorized delegate of InComm Financial Services, Inc. under Chapter 151 of the Texas Finance Code.']","{'Available': 'In Store', 'Brand Description': 'Visa', 'Unit Size': '1.0 each', 'SKU': '03972701'}"
30,https://www.dollargeneral.com/p/artskills-crafters-closet-canvas-in-x-in/672125037232,"Artskills Crafters Closet Canvas, 11 In X 14 In",https://dggo.dollargeneral.com/images/16/58/16588404_0.jpg,5.0,2 ,$3.50,6 in stock at,Artskills,1.0 each,16588404,"['Pre-primed, artist stretched canvas', '11x14 in', 'Great for craft projects and home Decor', 'Ideal for use with acrylic paints']","{'Available': 'Shipping, In Store,DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '1.0 each', 'SKU': '16588404'}"
31,https://www.dollargeneral.com/p/scent-happy-bath-bomb-sugar-dream/811170039673,Scent Happy Bath Bomb Sugar Dream,https://dggo.dollargeneral.com/images/30/97/30977001_0.jpg,0.0,Number of Reviews is not available,$1.00,10 in stock at,Scent Happy,1.0 each,30977001,"['PLACE BATH BOMB IN WARM WATER, LET THE BATH BOMB DISOLVE AND RELEASE SCENT.', 'Sugar Dream- Treat yourself to an indulgent recipe of cozy vanilla, savory almond and brown sugar.Smells likeFreshly baked sugar cookies.']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Scent Happy', 'Unit Size': '1.0 each', 'SKU': '30977001'}"
